id,name,ic_number,school_id,form_level,class_name,kodkaum,jantina,is_target_student
1,Ahmad Bin Abdullah,050101567890,1,4,4 Bestari,M,L,TRUE
2,Siti Nurhaliza Binti Hassan,050102567891,1,4,4 Bestari,M,P,TRUE
3,Muhammad Hakim Bin Omar,050103567892,1,4,4 Cemerlang,M,L,TRUE
4,Nurul Ain Fatihah Binti Ali,050104567893,1,4,4 Cemerlang,M,P,TRUE
5,Mohd Fikri Hakim Bin Rahman,050105567894,1,5,5 Bestari,M,L,TRUE
6,Aishah Binti Yusof,050106567895,1,5,5 Bestari,M,P,TRUE
7,Hafiz Bin Rahman,050107567896,1,5,5 Cemerlang,M,L,TRUE
8,Zarina Binti Hassan,050108567897,1,5,5 Cemerlang,M,P,TRUE
9,Raj Kumar A/L Suresh,050109567898,1,4,4 Bestari,I,L,TRUE
10,Priya A/P Raman,050110567899,1,4,4 Bestari,I,P,TRUE
11,Lim Wei Ming,050111567800,1,4,4 Cemerlang,C,L,TRUE
12,Tan Mei Ling,050112567801,1,4,4 Cemerlang,C,P,TRUE
13,Wong Kar Wai,050113567802,1,5,5 Bestari,C,L,TRUE
14,Lee Siew Choo,050114567803,1,5,5 Bestari,C,P,TRUE
15,Farid Bin Ahmad,050115567804,1,5,5 Cemerlang,M,L,TRUE
16,Nadia Binti Omar,050116567805,1,5,5 Cemerlang,M,P,TRUE
45,Ahmad Faiz Bin Hassan,050201567890,2,4,4 Bestari,M,L,TRUE
46,Siti Hajar Binti Rahman,050202567891,2,4,4 Bestari,M,P,TRUE
47,Muhammad Azim Bin Ali,050203567892,2,4,4 Cemerlang,M,L,TRUE
48,Nurul Hidayah Binti Yusof,050204567893,2,4,4 Cemerlang,M,P,TRUE
49,Mohd Arif Bin Omar,050205567894,2,5,5 Bestari,M,L,TRUE
50,Fatimah Binti Ahmad,050206567895,2,5,5 Bestari,M,P,TRUE
51,Suresh A/L Kumar,050207567896,2,5,5 Cemerlang,I,L,TRUE
52,Kavitha A/P Raj,050208567897,2,5,5 Cemerlang,I,P,TRUE
53,Chen Wei Jie,050209567898,2,4,4 Bestari,C,L,TRUE
54,Loh Pei Shan,050210567899,2,4,4 Bestari,C,P,TRUE
89,Ahmad Zaki Bin Rahman,050301567890,3,4,4 Bestari,M,L,TRUE
90,Siti Mariam Binti Hassan,050302567891,3,4,4 Bestari,M,P,TRUE
91,Muhammad Irfan Bin Ali,050303567892,3,4,4 Cemerlang,M,L,TRUE
92,Nurul Izzah Binti Omar,050304567893,3,4,4 Cemerlang,M,P,TRUE
