id,name,ic_number,school_id,form_level,class_name,kodkaum,jantina,phone,parent_phone,address,is_target_student
1,"Siti Binti Hassan",050101567890,1,4,"4 Bestari",M,P,012-0000001,019-1000001,"Alamat Murid 1",true
2,"Ahmad Bin Omar",050102567890,1,4,"4 Bestari",M,L,012-0000002,019-1000002,"Alamat Murid 2",true
3,"Siti Binti Rahman",050103567890,1,4,"4 Bestari",M,P,012-0000003,019-1000003,"Alamat Murid 3",true
4,"Ahmad Bin Ali",050104567890,1,4,"4 Bestari",M,L,012-0000004,019-1000004,"Alamat Murid 4",true
5,"Siti Binti Ahmad",050105567890,1,4,"4 Bestari",M,P,012-0000005,019-1000005,"Alamat Murid 5",true
6,"Tan Kar Wai",050106567890,1,4,"4 Bestari",C,L,012-0000006,019-1000006,"Alamat Murid 6",true
7,"Wong Li Ying",050107567890,1,4,"4 Bestari",C,P,012-0000007,019-1000007,"Alamat Murid 7",true
8,"Kumar A/L Raj",050108567890,1,4,"4 Bestari",I,L,012-0000008,019-1000008,"Alamat Murid 8",true
9,"Michelle Wilson",050109567890,1,4,"4 Bestari",L,P,012-0000009,019-1000009,"Alamat Murid 9",true
10,"Ahmad Bin Abdullah",050110567890,1,4,"4 Bestari",M,L,012-0000010,019-1000010,"Alamat Murid 10",true
11,"Siti Binti Hassan",050111567890,1,4,"4 Bestari",M,P,012-0000011,019-1000011,"Alamat Murid 11",true
12,"Ahmad Bin Omar",050112567890,1,4,"4 Cemerlang",M,L,012-0000012,019-1000012,"Alamat Murid 12",true
13,"Siti Binti Rahman",050113567890,1,4,"4 Cemerlang",M,P,012-0000013,019-1000013,"Alamat Murid 13",true
14,"Ahmad Bin Ali",050114567890,1,4,"4 Cemerlang",M,L,012-0000014,019-1000014,"Alamat Murid 14",true
15,"Siti Binti Ahmad",050115567890,1,4,"4 Cemerlang",M,P,012-0000015,019-1000015,"Alamat Murid 15",true
16,"Tan Kar Wai",050116567890,1,4,"4 Cemerlang",C,L,012-0000016,019-1000016,"Alamat Murid 16",true
17,"Wong Li Ying",050117567890,1,4,"4 Cemerlang",C,P,012-0000017,019-1000017,"Alamat Murid 17",true
18,"Kumar A/L Raj",050118567890,1,4,"4 Cemerlang",I,L,012-0000018,019-1000018,"Alamat Murid 18",true
19,"Michelle Wilson",050119567890,1,4,"4 Cemerlang",L,P,012-0000019,019-1000019,"Alamat Murid 19",true
20,"Ahmad Bin Abdullah",050120567890,1,4,"4 Cemerlang",M,L,012-0000020,019-1000020,"Alamat Murid 20",true
21,"Siti Binti Hassan",050121567890,1,4,"4 Cemerlang",M,P,012-0000021,019-1000021,"Alamat Murid 21",true
22,"Ahmad Bin Omar",050122567890,1,4,"4 Cemerlang",M,L,012-0000022,019-1000022,"Alamat Murid 22",true
23,"Siti Binti Rahman",050123567890,1,5,"5 Bestari",M,P,012-0000023,019-1000023,"Alamat Murid 23",true
24,"Ahmad Bin Ali",050124567890,1,5,"5 Bestari",M,L,012-0000024,019-1000024,"Alamat Murid 24",true
25,"Siti Binti Ahmad",050125567890,1,5,"5 Bestari",M,P,012-0000025,019-1000025,"Alamat Murid 25",true
26,"Tan Kar Wai",050126567890,1,5,"5 Bestari",C,L,012-0000026,019-1000026,"Alamat Murid 26",true
27,"Wong Li Ying",050127567890,1,5,"5 Bestari",C,P,012-0000027,019-1000027,"Alamat Murid 27",true
28,"Kumar A/L Raj",050128567890,1,5,"5 Bestari",I,L,012-0000028,019-1000028,"Alamat Murid 28",true
29,"Michelle Wilson",050129567890,1,5,"5 Bestari",L,P,012-0000029,019-1000029,"Alamat Murid 29",true
30,"Ahmad Bin Abdullah",050130567890,1,5,"5 Bestari",M,L,012-0000030,019-1000030,"Alamat Murid 30",true
31,"Siti Binti Hassan",050131567890,1,5,"5 Bestari",M,P,012-0000031,019-1000031,"Alamat Murid 31",true
32,"Ahmad Bin Omar",050132567890,1,5,"5 Bestari",M,L,012-0000032,019-1000032,"Alamat Murid 32",true
33,"Siti Binti Rahman",050133567890,1,5,"5 Bestari",M,P,012-0000033,019-1000033,"Alamat Murid 33",true
34,"Ahmad Bin Ali",050134567890,1,5,"5 Cemerlang",M,L,012-0000034,019-1000034,"Alamat Murid 34",true
35,"Siti Binti Ahmad",050135567890,1,5,"5 Cemerlang",M,P,012-0000035,019-1000035,"Alamat Murid 35",true
36,"Tan Kar Wai",050136567890,1,5,"5 Cemerlang",C,L,012-0000036,019-1000036,"Alamat Murid 36",true
37,"Wong Li Ying",050137567890,1,5,"5 Cemerlang",C,P,012-0000037,019-1000037,"Alamat Murid 37",true
38,"Kumar A/L Raj",050138567890,1,5,"5 Cemerlang",I,L,012-0000038,019-1000038,"Alamat Murid 38",true
39,"Michelle Wilson",050139567890,1,5,"5 Cemerlang",L,P,012-0000039,019-1000039,"Alamat Murid 39",true
40,"Ahmad Bin Abdullah",050140567890,1,5,"5 Cemerlang",M,L,012-0000040,019-1000040,"Alamat Murid 40",true
41,"Siti Binti Hassan",050141567890,1,5,"5 Cemerlang",M,P,012-0000041,019-1000041,"Alamat Murid 41",true
42,"Ahmad Bin Omar",050142567890,1,5,"5 Cemerlang",M,L,012-0000042,019-1000042,"Alamat Murid 42",true
43,"Siti Binti Rahman",050143567890,1,5,"5 Cemerlang",M,P,012-0000043,019-1000043,"Alamat Murid 43",true
44,"Ahmad Bin Ali",050144567890,1,5,"5 Cemerlang",M,L,012-0000044,019-1000044,"Alamat Murid 44",true
45,"Siti Binti Hassan",050201567890,2,4,"4 Bestari",M,P,012-0000045,019-1000045,"Alamat Murid 45",true
46,"Ahmad Bin Omar",050202567890,2,4,"4 Bestari",M,L,012-0000046,019-1000046,"Alamat Murid 46",true
47,"Siti Binti Rahman",050203567890,2,4,"4 Bestari",M,P,012-0000047,019-1000047,"Alamat Murid 47",true
48,"Ahmad Bin Ali",050204567890,2,4,"4 Bestari",M,L,012-0000048,019-1000048,"Alamat Murid 48",true
49,"Siti Binti Ahmad",050205567890,2,4,"4 Bestari",M,P,012-0000049,019-1000049,"Alamat Murid 49",true
50,"Tan Kar Wai",050206567890,2,4,"4 Bestari",C,L,012-0000050,019-1000050,"Alamat Murid 50",true
51,"Wong Li Ying",050207567890,2,4,"4 Bestari",C,P,012-0000051,019-1000051,"Alamat Murid 51",true
52,"Kumar A/L Raj",050208567890,2,4,"4 Bestari",I,L,012-0000052,019-1000052,"Alamat Murid 52",true
53,"Michelle Wilson",050209567890,2,4,"4 Bestari",L,P,012-0000053,019-1000053,"Alamat Murid 53",true
54,"Ahmad Bin Abdullah",050210567890,2,4,"4 Bestari",M,L,012-0000054,019-1000054,"Alamat Murid 54",true
55,"Siti Binti Hassan",050211567890,2,4,"4 Bestari",M,P,012-0000055,019-1000055,"Alamat Murid 55",true
56,"Ahmad Bin Omar",050212567890,2,4,"4 Cemerlang",M,L,012-0000056,019-1000056,"Alamat Murid 56",true
57,"Siti Binti Rahman",050213567890,2,4,"4 Cemerlang",M,P,012-0000057,019-1000057,"Alamat Murid 57",true
58,"Ahmad Bin Ali",050214567890,2,4,"4 Cemerlang",M,L,012-0000058,019-1000058,"Alamat Murid 58",true
59,"Siti Binti Ahmad",050215567890,2,4,"4 Cemerlang",M,P,012-0000059,019-1000059,"Alamat Murid 59",true
60,"Tan Kar Wai",050216567890,2,4,"4 Cemerlang",C,L,012-0000060,019-1000060,"Alamat Murid 60",true
61,"Wong Li Ying",050217567890,2,4,"4 Cemerlang",C,P,012-0000061,019-1000061,"Alamat Murid 61",true
62,"Kumar A/L Raj",050218567890,2,4,"4 Cemerlang",I,L,012-0000062,019-1000062,"Alamat Murid 62",true
63,"Michelle Wilson",050219567890,2,4,"4 Cemerlang",L,P,012-0000063,019-1000063,"Alamat Murid 63",true
64,"Ahmad Bin Abdullah",050220567890,2,4,"4 Cemerlang",M,L,012-0000064,019-1000064,"Alamat Murid 64",true
65,"Siti Binti Hassan",050221567890,2,4,"4 Cemerlang",M,P,012-0000065,019-1000065,"Alamat Murid 65",true
66,"Ahmad Bin Omar",050222567890,2,4,"4 Cemerlang",M,L,012-0000066,019-1000066,"Alamat Murid 66",true
67,"Siti Binti Rahman",050223567890,2,5,"5 Bestari",M,P,012-0000067,019-1000067,"Alamat Murid 67",true
68,"Ahmad Bin Ali",050224567890,2,5,"5 Bestari",M,L,012-0000068,019-1000068,"Alamat Murid 68",true
69,"Siti Binti Ahmad",050225567890,2,5,"5 Bestari",M,P,012-0000069,019-1000069,"Alamat Murid 69",true
70,"Tan Kar Wai",050226567890,2,5,"5 Bestari",C,L,012-0000070,019-1000070,"Alamat Murid 70",true
71,"Wong Li Ying",050227567890,2,5,"5 Bestari",C,P,012-0000071,019-1000071,"Alamat Murid 71",true
72,"Kumar A/L Raj",050228567890,2,5,"5 Bestari",I,L,012-0000072,019-1000072,"Alamat Murid 72",true
73,"Michelle Wilson",050229567890,2,5,"5 Bestari",L,P,012-0000073,019-1000073,"Alamat Murid 73",true
74,"Ahmad Bin Abdullah",050230567890,2,5,"5 Bestari",M,L,012-0000074,019-1000074,"Alamat Murid 74",true
75,"Siti Binti Hassan",050231567890,2,5,"5 Bestari",M,P,012-0000075,019-1000075,"Alamat Murid 75",true
76,"Ahmad Bin Omar",050232567890,2,5,"5 Bestari",M,L,012-0000076,019-1000076,"Alamat Murid 76",true
77,"Siti Binti Rahman",050233567890,2,5,"5 Bestari",M,P,012-0000077,019-1000077,"Alamat Murid 77",true
78,"Ahmad Bin Ali",050234567890,2,5,"5 Cemerlang",M,L,012-0000078,019-1000078,"Alamat Murid 78",true
79,"Siti Binti Ahmad",050235567890,2,5,"5 Cemerlang",M,P,012-0000079,019-1000079,"Alamat Murid 79",true
80,"Tan Kar Wai",050236567890,2,5,"5 Cemerlang",C,L,012-0000080,019-1000080,"Alamat Murid 80",true
81,"Wong Li Ying",050237567890,2,5,"5 Cemerlang",C,P,012-0000081,019-1000081,"Alamat Murid 81",true
